"","trial","outcome_condition","rt","chose_risky","key_pressed","reward","color","session","total_earned","participant","condition","video","age","gender","risk_first_to_mind","total_risk","judged_percent","block","last_risk"
"54",0.535353535353535,-1,"563",TRUE,"left",0,"4","first_time",0.65,"1",-1,"Restaurant",31,"F",1,0.43,0,6,1
"55",0.545454545454545,-1,"303",TRUE,"left",1,"4","first_time",0.675,"1",-1,"Restaurant",31,"F",1,0.43,0,6,0
"56",0.555555555555556,-1,"450",FALSE,"right",0.5,"3","first_time",0.6875,"1",-1,"Restaurant",31,"F",1,0.43,0,6,1
"57",0.565656565656566,-1,"381",FALSE,"right",0.5,"3","first_time",0.7,"1",-1,"Restaurant",31,"F",1,0.43,0,6,1
"58",0.575757575757576,-1,"583",FALSE,"right",0.5,"3","first_time",0.7125,"1",-1,"Restaurant",31,"F",1,0.43,0,6,1
"59",0.585858585858586,-1,"243",TRUE,"left",0,"4","first_time",0.7125,"1",-1,"Restaurant",31,"F",1,0.43,0,6,1
"60",0.595959595959596,-1,"267",TRUE,"left",0,"4","first_time",0.7125,"1",-1,"Restaurant",31,"F",1,0.43,0,6,0
"61",0.606060606060606,-1,"2441",TRUE,"left",1,"4","first_time",0.7375,"1",-1,"Restaurant",31,"F",1,0.43,0,7,0
"62",0.616161616161616,-1,"463",TRUE,"left",0,"4","first_time",0.7375,"1",-1,"Restaurant",31,"F",1,0.43,0,7,1
"63",0.626262626262626,-1,"351",FALSE,"right",0.5,"3","first_time",0.75,"1",-1,"Restaurant",31,"F",1,0.43,0,7,0
"64",0.636363636363636,-1,"711",FALSE,"right",0.5,"3","first_time",0.7625,"1",-1,"Restaurant",31,"F",1,0.43,0,7,0
"65",0.646464646464647,-1,"275",FALSE,"right",0.5,"3","first_time",0.775,"1",-1,"Restaurant",31,"F",1,0.43,0,7,0
"66",0.656565656565657,-1,"551",FALSE,"right",0.5,"3","first_time",0.7875,"1",-1,"Restaurant",31,"F",1,0.43,0,7,0
"67",0.666666666666667,-1,"275",TRUE,"left",1,"4","first_time",0.8125,"1",-1,"Restaurant",31,"F",1,0.43,0,7,0
"68",0.676767676767677,-1,"388",FALSE,"right",0.5,"3","first_time",0.825,"1",-1,"Restaurant",31,"F",1,0.43,0,7,1
"69",0.686868686868687,-1,"742",FALSE,"right",0.5,"3","first_time",0.8375,"1",-1,"Restaurant",31,"F",1,0.43,0,7,1
"70",0.696969696969697,-1,"395",FALSE,"right",0.5,"3","first_time",0.85,"1",-1,"Restaurant",31,"F",1,0.43,0,7,1
"71",0.707070707070707,-1,"496",TRUE,"left",1,"4","first_time",0.875,"1",-1,"Restaurant",31,"F",1,0.43,0,8,1
"72",0.717171717171717,-1,"400",FALSE,"right",0.5,"3","first_time",0.8875,"1",-1,"Restaurant",31,"F",1,0.43,0,8,1
"73",0.727272727272727,-1,"271",FALSE,"right",0.5,"3","first_time",0.9,"1",-1,"Restaurant",31,"F",1,0.43,0,8,1
"74",0.737373737373737,-1,"293",FALSE,"right",0.5,"3","first_time",0.9125,"1",-1,"Restaurant",31,"F",1,0.43,0,8,1
"75",0.747474747474748,-1,"368",FALSE,"right",0.5,"3","first_time",0.925,"1",-1,"Restaurant",31,"F",1,0.43,0,8,1
"76",0.757575757575758,-1,"284",TRUE,"left",1,"4","first_time",0.95,"1",-1,"Restaurant",31,"F",1,0.43,0,8,1
"77",0.767676767676768,-1,"272",FALSE,"right",0.5,"3","first_time",0.9625,"1",-1,"Restaurant",31,"F",1,0.43,0,8,1
"78",0.777777777777778,-1,"246",FALSE,"right",0.5,"3","first_time",0.975,"1",-1,"Restaurant",31,"F",1,0.43,0,8,1
"79",0.787878787878788,-1,"377",FALSE,"right",0.5,"3","first_time",0.9875,"1",-1,"Restaurant",31,"F",1,0.43,0,8,1
"80",0.797979797979798,-1,"1028",TRUE,"left",1,"4","first_time",1.0125,"1",-1,"Restaurant",31,"F",1,0.43,0,8,1
"81",0.808080808080808,-1,"294",FALSE,"right",0.5,"3","first_time",1.025,"1",-1,"Restaurant",31,"F",1,0.43,0,9,1
"82",0.818181818181818,-1,"298",FALSE,"right",0.5,"3","first_time",1.0375,"1",-1,"Restaurant",31,"F",1,0.43,0,9,1
"83",0.828282828282828,-1,"253",FALSE,"right",0.5,"3","first_time",1.05,"1",-1,"Restaurant",31,"F",1,0.43,0,9,1
"84",0.838383838383838,-1,"242",TRUE,"left",0,"4","first_time",1.05,"1",-1,"Restaurant",31,"F",1,0.43,0,9,1
"85",0.848484848484849,-1,"270",TRUE,"left",1,"4","first_time",1.075,"1",-1,"Restaurant",31,"F",1,0.43,0,9,0
"86",0.858585858585859,-1,"282",FALSE,"right",0.5,"3","first_time",1.0875,"1",-1,"Restaurant",31,"F",1,0.43,0,9,1
"87",0.868686868686869,-1,"372",FALSE,"right",0.5,"3","first_time",1.1,"1",-1,"Restaurant",31,"F",1,0.43,0,9,1
"88",0.878787878787879,-1,"394",FALSE,"right",0.5,"3","first_time",1.1125,"1",-1,"Restaurant",31,"F",1,0.43,0,9,1
"89",0.888888888888889,-1,"628",FALSE,"right",0.5,"3","first_time",1.125,"1",-1,"Restaurant",31,"F",1,0.43,0,9,1
"90",0.898989898989899,-1,"529",TRUE,"left",1,"4","first_time",1.15,"1",-1,"Restaurant",31,"F",1,0.43,0,9,1
